"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"WPFC Black B04",372,0.36,0.14,8,"WA","B04","","","",""
"FWFC Blue B03",372,0.32,0.16,38,"WA","B03","RCL B03 Div 3","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"ASE Royal B01",371,0.36,0.14,10,"WA","B01","PSPL-Inland Div 2 U13","","",""
"Southside SC Chaos B02",371,0.32,0.16,30,"OR","B02","OPL 2nd Div U12","","Spr OPL Crater Lake Div U12","Directors Cup OPL Silver U12"
"Eastside Timbers Black B03",368,0.3,0.17,43,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Div 1","OYS Presidents Cup B03"
"ISC Gunners B B02",367,0.3,0.17,37,"WA","B02","PSPL Copa U12","","Spr PSPL Classic 2 U12","WA Cup BU12 Silver/Bronze U12"
"Idaho Rush Blue B02",365,0.33,0.15,21,"ID","B02","Idaho D3 A U12, Idaho D3 B U12","","Spr Idaho D3 A U12, Spr Idaho D3 B U12",""
"PacNW White B03",364,0.25,0.2,40,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 3"
"PSA Force Black B02",362,0.24,0.2,15,"WA","B02","NPSL B12D2","","",""
"Gig Harbor Spartans B00",360,0.14,0.35,10,"WA","B00","PSPL Copa U14","","",""
"WPFC White B03",357,0.3,0.15,41,"WA","B03","RCL B03 Div 3","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 3"
"Edmond Premier Titans B01",356,0.32,0.14,12,"WA","B01","PSPL Copa U13","","",""
"Table Rock SC Lightning B02",356,0.42,0.11,8,"OR","B02","","","",""
"Cobra Arsenal B02",355,0.31,0.15,13,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 1 U12",""
"Capital FC Timbers Black B03",355,0.39,0.12,34,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 1","OYS Presidents Cup B03"
"Sting SC United B03",355,0.31,0.15,30,"ID","B03","NWL Group A U11","","Spr NWL Group A U11","WA Cup BU11 Gold/Platinum U11"
"Storm King White B01",354,0.28,0.16,12,"WA","B01","NPSL B13D3","","",""
"West Narrows Blue B03",354,0.39,0.12,35,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Classic 1 U11","WA Cup BU11 Gold/Platinum U11"
